duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,facenumber_in_poster,country,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,Genre_Film-Noir,Genre_Action,Genre_War,Genre_History,Genre_Western,Genre_Documentary,Genre_Sport,Genre_Thriller,Genre_News,Genre_Biography,Genre_Comedy,Genre_Mystery,Genre_Musical,Genre_Short,Genre_Adventure,Genre_Horror,Genre_Romance,Genre_Sci-Fi,Genre_Drama,Genre_Music,Genre_Game-Show,Genre_Crime,Genre_Fantasy,Genre_Animation,Genre_Family,Genre_Reality-TV,ratio_rentabilite,imdb_score_disc,ratio_rentabilite_disc
178,0,855,1000,760505847,0,usa,237000000,2009,936,7.9,33000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3.208885,'\'B4of4\'','\'B4of4\''
169,563,1000,40000,309404152,0,usa,300000000,2007,5000,7.1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.031347,'\'B3of4\'','\'B2of4\''
148,0,161,11000,200074175,1,uk,245000000,2015,393,6.8,85000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.816629,'\'B3of4\'','\'B2of4\''
164,22000,23000,27000,448130642,0,usa,250000000,2012,23000,8.5,164000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.792523,'\'B4of4\'','\'B3of4\''
NA,131,NA,131,NA,0,NA,NA,NA,12,7.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,'\'B3of4\'',NA
132,475,530,640,73058679,1,usa,263700000,2012,632,6.6,24000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.277052,'\'B3of4\'','\'B1of4\''
156,0,4000,24000,336530303,0,usa,258000000,2007,11000,6.2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.304381,'\'B2of4\'','\'B3of4\''
100,15,284,799,200807262,1,usa,260000000,2010,553,7.8,29000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.772336,'\'B4of4\'','\'B2of4\''
141,0,19000,26000,458991599,4,usa,250000000,2015,21000,7.5,118000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.835966,'\'B4of4\'','\'B3of4\''
153,282,10000,25000,301956980,3,uk,250000000,2009,11000,7.5,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1.207828,'\'B4of4\'','\'B3of4\''
