@relation '5_partie1_question_2-weka.filters.unsupervised.attribute.Remove-R11,39,41'

@attribute duration numeric
@attribute director_facebook_likes numeric
@attribute actor_3_facebook_likes numeric
@attribute actor_1_facebook_likes numeric
@attribute gross numeric
@attribute facenumber_in_poster numeric
@attribute country {usa,uk,'new zealand',canada,australia,belgium,japan,germany,china,france,'new line',mexico,spain,'hong kong','czech republic',india,'soviet union','south korea',peru,italy,russia,aruba,denmark,libya,ireland,'south africa',iceland,switzerland,romania,'west germany',chile,netherlands,hungary,panama,greece,sweden,norway,taiwan,'official site',cambodia,thailand,slovakia,bulgaria,iran,poland,georgia,turkey,nigeria,brazil,finland,bahamas,argentina,colombia,israel,egypt,kyrgyzstan,indonesia,pakistan,slovenia,afghanistan,'dominican republic',cameroon,'united arab emirates',kenya,philippines}
@attribute budget numeric
@attribute title_year numeric
@attribute actor_2_facebook_likes numeric
@attribute movie_facebook_likes numeric
@attribute Genre_Film-Noir {FALSE,TRUE}
@attribute Genre_Action {TRUE,FALSE}
@attribute Genre_War {FALSE,TRUE}
@attribute Genre_History {FALSE,TRUE}
@attribute Genre_Western {FALSE,TRUE}
@attribute Genre_Documentary {FALSE,TRUE}
@attribute Genre_Sport {FALSE,TRUE}
@attribute Genre_Thriller {FALSE,TRUE}
@attribute Genre_News {FALSE,TRUE}
@attribute Genre_Biography {FALSE,TRUE}
@attribute Genre_Comedy {FALSE,TRUE}
@attribute Genre_Mystery {FALSE,TRUE}
@attribute Genre_Musical {FALSE,TRUE}
@attribute Genre_Short {FALSE,TRUE}
@attribute Genre_Adventure {TRUE,FALSE}
@attribute Genre_Horror {FALSE,TRUE}
@attribute Genre_Romance {FALSE,TRUE}
@attribute Genre_Sci-Fi {TRUE,FALSE}
@attribute Genre_Drama {FALSE,TRUE}
@attribute Genre_Music {FALSE,TRUE}
@attribute Genre_Game-Show {FALSE,TRUE}
@attribute Genre_Crime {FALSE,TRUE}
@attribute Genre_Fantasy {TRUE,FALSE}
@attribute Genre_Animation {FALSE,TRUE}
@attribute Genre_Family {FALSE,TRUE}
@attribute Genre_Reality-TV {FALSE,TRUE}
@attribute imdb_score_disc {EXELLENT_SCORE,BON_SCORE,SCORE_MOYEN,MAUVAIS_SCORE}

@data
178,0,855,1000,760505847,0,usa,237000000,2009,936,33000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,EXELLENT_SCORE
169,563,1000,40000,309404152,0,usa,300000000,2007,5000,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,BON_SCORE
148,0,161,11000,200074175,1,uk,245000000,2015,393,85000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BON_SCORE
164,22000,23000,27000,448130642,0,usa,250000000,2012,23000,164000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXELLENT_SCORE
?,131,?,131,?,0,?,?,?,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BON_SCORE
132,475,530,640,73058679,1,usa,263700000,2012,632,24000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BON_SCORE
156,0,4000,24000,336530303,0,usa,258000000,2007,11000,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SCORE_MOYEN
100,15,284,799,200807262,1,usa,260000000,2010,553,29000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,EXELLENT_SCORE
141,0,19000,26000,458991599,4,usa,250000000,2015,21000,118000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EXELLENT_SCORE
153,282,10000,25000,301956980,3,uk,250000000,2009,11000,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,EXELLENT_SCORE
